,tempo,valence
0,150.0,0.29
1,160.0,0.59
2,75.0,0.17
3,86.0,0.23
4,174.0,0.9
5,85.0,0.26
6,80.0,0.31
7,144.0,0.39
8,130.0,0.4
9,100.0,0.39
10,112.0,0.52
11,104.0,0.64
12,128.0,0.38
13,130.0,0.37
14,125.0,0.35
15,100.0,0.32
16,124.0,0.77
17,122.0,0.84
18,140.0,0.78
19,110.0,0.76
20,128.0,0.47
21,130.0,0.77
22,140.0,0.44
23,138.0,0.36
24,94.0,0.4
25,110.0,0.8
26,110.0,0.6
27,100.0,0.32
28,120.0,0.24
29,129.0,0.33
30,135.0,0.14
31,128.0,0.27
32,127.0,0.42
33,147.0,0.43
34,120.0,0.68
35,111.0,0.37
36,148.0,0.86
37,142.0,0.68
38,136.0,0.57
39,124.0,0.85
40,125.0,0.62
41,147.0,0.07
42,140.0,0.32
43,124.0,0.09
44,166.0,0.62
45,95.0,0.61
46,114.0,0.95
47,105.0,0.83
48,129.0,0.97
49,107.0,0.93
50,96.0,0.85
51,132.0,0.74
52,76.0,0.53
53,75.0,0.19
54,130.0,0.3
55,119.0,0.49
56,109.0,0.18
57,120.0,0.04
58,148.0,0.6
59,81.0,0.14
60,93.0,0.33
61,80.0,0.67
62,93.0,0.87
63,140.0,0.89
64,82.0,0.78
65,73.0,0.26
66,120.0,0.36
67,128.0,0.28
68,125.0,0.47
69,106.0,0.25
70,120.0,0.8
71,124.0,0.2
72,106.0,0.97
73,107.0,0.89
74,130.0,0.94
75,105.0,0.3
76,76.0,0.32
77,84.0,0.55
78,80.0,0.19
79,83.0,0.17
80,82.0,0.73
81,144.0,0.4
82,154.0,0.92
83,176.0,0.46
84,98.0,0.76
85,106.0,0.85
86,122.0,0.87
87,99.0,0.76
88,159.0,0.96
89,93.0,0.68
90,128.0,0.72
91,114.0,0.4
92,128.0,0.25
93,125.0,0.57
94,128.0,0.53
95,144.0,0.6
96,116.0,0.83
97,111.0,0.69
98,138.0,0.65
99,134.0,0.46
100,108.0,0.8
101,100.0,0.27
102,200.0,0.94
103,130.0,0.46
104,130.0,0.35
105,130.0,0.81
106,108.0,0.86
107,136.0,0.52
108,177.0,0.59
109,72.0,0.84
110,136.0,0.63
111,128.0,0.93
112,121.0,0.97
113,123.0,0.35
114,93.0,0.66
115,89.0,0.49
116,124.0,0.17
117,135.0,0.56
118,190.0,0.6
119,148.0,0.81
120,125.0,0.22
121,128.0,0.14
122,176.0,0.47
123,160.0,0.61
124,210.0,0.75
125,105.0,0.3
126,91.0,0.89
127,132.0,0.2
128,106.0,0.89
129,132.0,0.22
130,143.0,0.19
131,83.0,0.66
132,77.0,0.16
133,92.0,0.69
134,100.0,0.49
135,92.0,0.79
136,172.0,0.56
137,133.0,0.68
138,136.0,0.89
139,147.0,0.85
140,160.0,0.58
141,162.0,0.48
142,117.0,0.36
143,168.0,0.65
144,122.0,0.78
145,168.0,0.59
146,150.0,0.68
147,150.0,0.32
148,154.0,0.11
149,141.0,0.48
150,123.0,0.43
151,146.0,0.35
152,128.0,0.2
153,142.0,0.59
154,132.0,0.31
155,96.0,0.86
156,120.0,0.2
157,110.0,0.58
158,115.0,0.16
159,131.0,0.52
160,112.0,0.46
161,100.0,0.77
162,115.0,0.44
163,94.0,0.96
164,110.0,0.21
165,140.0,0.31
166,109.0,0.75
167,150.0,0.8
168,100.0,0.34
169,191.0,0.62
170,130.0,0.51
171,105.0,0.33
172,110.0,0.21
173,112.0,0.56
174,124.0,0.42
175,100.0,0.38
176,68.0,0.32
177,142.0,0.97
178,111.0,0.87
179,153.0,0.19
180,124.0,0.68
181,122.0,0.86
182,127.0,0.67
183,101.0,0.26
184,128.0,0.77
185,114.0,0.5
186,176.0,0.6
187,108.0,0.39
188,100.0,0.34
189,115.0,0.36
190,98.0,0.31
191,90.0,0.22
192,149.0,0.18
193,120.0,0.12
194,95.0,0.25
195,182.0,0.82
196,159.0,0.74
197,150.0,0.79
198,118.0,0.21
199,145.0,0.89
200,122.0,0.9
201,140.0,0.44
202,121.0,0.95
203,116.0,0.35
204,120.0,0.45
205,144.0,0.5
206,121.0,0.68
207,107.0,0.97
208,96.0,0.38
209,92.0,0.43
210,127.0,0.78
211,108.0,0.93
212,174.0,0.21
213,106.0,0.47
214,172.0,0.37
215,128.0,0.58
216,136.0,0.61
217,123.0,0.64
218,108.0,0.42
219,130.0,0.19
220,120.0,0.32
221,150.0,0.4
222,150.0,0.96
223,80.0,0.2
224,135.0,0.65
225,100.0,0.5
226,107.0,0.57
227,122.0,0.13
228,116.0,0.95
229,140.0,0.29
230,120.0,0.9
231,122.0,0.91
232,85.0,0.94
233,126.0,0.23
234,114.0,0.42
235,103.0,0.95
236,80.0,0.3
237,100.0,0.27
238,103.0,0.8
